s_0_score,s_10_score,s_11_score,s_12_score,s_13_score,s_14_score,s_15_score,s_16_score,s_17_score,s_18_score,s_19_score,s_1_score,s_20_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,,,,,,,3.032,,,,,,,0.492
,2.128,,,,,,,,,,2.308,,,,,,,,,
,2.324,,,,,,,,,,,,,,,,,,2.224,
,,,,,3.184,,,,,,,,,,1.924,,,,,
,,,,,,,,,,3.26,,,,,1.94,,,,,
,,,,,,,2.248,,,,2.168,,,,,,,,,
,,,,2.224,,,,,,,,,,,,,,2.344,,
2.12,,,,,,,,,,,,,,,,,,,,2.12
,,,,,,,,,,,,,,,,,2.184,,,2.244
,,,,,,2.436,,,,,,,,,,,,2.116,,
,,,,,,,,,,,,,,,1.824,,,,2.984,
,2.476,,,,,,,2.056,,,,,,,,,,,,
,,,,,,2.296,,,,,,2.416,,,,,,,,
,,,,,,,2.272,,,,,,,,,,,2.412,,
,,2.42,,,,,,2.08,,,,,,,,,,,,
,2.18,,,,,,,,,,,,,,,,2.14,,,
,,,,,1.956,,,,,,,,,,,,2.776,,,
,,,,,,2.288,,2.148,,,,,,,,,,,,
,,,,,,,,2.212,,,,2.392,,,,,,,,
,,,,,0.46,,,,,,,,3.16,,,,,,,
,,,,3.144,,,,,,,,,,,1.904,,,,,
,,,,,,,,,,,,,2.968,,,0.508,,,,
,2.328,,,,,,,,2.208,,,,,,,,,,,
,,,,,,,,,0.52,,,,,,,2.92,,,,
1.016,,,,,,,,,,,,,,,,1.036,,,,
,,,,,,,,,1.984,,,,,,,,,,,2.364
,,,,,,,,,4.024,,,,,1.464,,,,,,
,,,2.132,,,,,,,,,2.492,,,,,,,,
,,,,2.136,,,,,,2.376,,,,,,,,,,
,,,,4.112,,,,,,,,,,1.332,,,,,,
,0.516,,,,,,,,,,,,,,,2.936,,,,
,,,,,3.328,,,,,,,,,,2.508,,,,,
