s_0_history_len,s_0_model_depth,s_0_score,s_1_history_len,s_1_model_depth,s_1_score,s_2_history_len,s_2_model_depth,s_2_score,s_3_history_len,s_3_model_depth,s_3_score
10.0,10.0,2.14,,,,10.0,10.0,2.19,,,
10.0,10.0,2.28,10.0,10.0,2.33,,,,,,
10.0,10.0,2.33,,,,,,,10.0,10.0,2.38
,,,10.0,10.0,2.19,,,,10.0,10.0,2.24
10.0,10.0,2.36,,,,,,,10.0,10.0,2.41
,,,,,,10.0,10.0,2.39,10.0,10.0,2.09
,,,10.0,10.0,2.25,10.0,10.0,2.3,,,
10.0,10.0,2.34,,,,,,,10.0,10.0,2.39
10.0,10.0,2.15,10.0,10.0,2.15,,,,,,
10.0,10.0,2.36,10.0,10.0,2.41,,,,,,
10.0,10.0,2.2,,,,,,,10.0,10.0,2.25
10.0,10.0,2.36,,,,10.0,10.0,2.36,,,
10.0,10.0,2.11,,,,,,,10.0,10.0,2.16
10.0,10.0,2.11,,,,,,,10.0,10.0,2.16
,,,,,,10.0,10.0,2.08,10.0,10.0,2.33
10.0,10.0,2.12,10.0,10.0,2.17,,,,,,
10.0,10.0,2.18,,,,,,,10.0,10.0,2.23
,,,10.0,10.0,2.44,10.0,10.0,2.09,,,
,,,,,,10.0,10.0,2.12,10.0,10.0,2.37
10.0,10.0,2.33,,,,,,,10.0,10.0,2.33
,,,10.0,10.0,1.99,,,,10.0,10.0,2.14
,,,10.0,10.0,2.26,,,,10.0,10.0,2.31
,,,,,,10.0,10.0,1.96,10.0,10.0,2.11
,,,,,,10.0,10.0,2.11,10.0,10.0,2.26
10.0,10.0,2.07,10.0,10.0,2.07,,,,,,
,,,,,,10.0,10.0,2.14,10.0,10.0,2.34
10.0,10.0,2.29,,,,,,,10.0,10.0,2.29
10.0,10.0,2.24,,,,,,,10.0,10.0,2.29
,,,10.0,10.0,2.02,10.0,10.0,2.57,,,
10.0,10.0,2.19,10.0,10.0,2.24,,,,,,
,,,10.0,10.0,2.56,10.0,10.0,1.91,,,
,,,10.0,10.0,2.26,,,,10.0,10.0,2.26
10.0,10.0,2.34,,,,,,,10.0,10.0,2.39
10.0,10.0,2.22,10.0,10.0,2.22,,,,,,
,,,,,,10.0,10.0,2.18,10.0,10.0,1.93
,,,,,,10.0,10.0,2.57,10.0,10.0,1.57
,,,,,,10.0,10.0,2.52,10.0,10.0,1.72
,,,10.0,10.0,2.0,,,,10.0,10.0,2.35
10.0,10.0,1.97,,,,10.0,10.0,1.97,,,
10.0,10.0,2.8,,,,,,,10.0,10.0,2.8
10.0,10.0,2.2,10.0,10.0,2.25,,,,,,
10.0,10.0,2.28,10.0,10.0,2.28,,,,,,
10.0,10.0,2.8,,,,,,,10.0,10.0,2.8
,,,10.0,10.0,1.63,10.0,10.0,2.53,,,
10.0,10.0,2.26,10.0,10.0,2.31,,,,,,
10.0,10.0,2.45,10.0,10.0,2.45,,,,,,
,,,10.0,10.0,1.69,10.0,10.0,2.14,,,
,,,,,,10.0,10.0,2.52,10.0,10.0,1.72
,,,10.0,10.0,1.68,10.0,10.0,2.38,,,
,,,10.0,10.0,2.39,,,,10.0,10.0,2.14
10.0,10.0,2.8,,,,,,,10.0,10.0,2.8
10.0,10.0,2.8,,,,,,,10.0,10.0,2.8
,,,,,,10.0,10.0,3.2,10.0,10.0,1.2
10.0,10.0,2.04,10.0,10.0,2.09,,,,,,
10.0,10.0,2.07,10.0,10.0,2.07,,,,,,
10.0,10.0,2.21,10.0,10.0,2.21,,,,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.86
,,,10.0,10.0,2.38,,,,10.0,10.0,2.08
10.0,10.0,2.33,,,,10.0,10.0,2.33,,,
,,,10.0,10.0,2.46,,,,10.0,10.0,2.16
,,,10.0,10.0,2.29,,,,10.0,10.0,2.24
,,,10.0,10.0,1.41,10.0,10.0,2.81,,,
10.0,10.0,2.24,10.0,10.0,2.29,,,,,,
10.0,10.0,2.28,10.0,10.0,2.33,,,,,,
10.0,10.0,2.32,10.0,10.0,2.32,,,,,,
,,,10.0,10.0,2.66,,,,10.0,10.0,2.21
10.0,10.0,2.32,10.0,10.0,2.37,,,,,,
,,,,,,10.0,10.0,3.2,10.0,10.0,1.2
10.0,10.0,2.33,,,,10.0,10.0,2.33,,,
,,,10.0,10.0,1.67,10.0,10.0,2.22,,,
,,,,,,10.0,10.0,2.85,10.0,10.0,1.45
10.0,10.0,2.3,10.0,10.0,2.35,,,,,,
,,,10.0,10.0,2.34,,,,10.0,10.0,2.34
,,,10.0,10.0,1.46,10.0,10.0,2.86,,,
,,,,,,10.0,10.0,2.85,10.0,10.0,1.45
,,,10.0,10.0,1.82,10.0,10.0,2.22,,,
,,,10.0,10.0,1.87,10.0,10.0,2.32,,,
10.0,10.0,2.09,10.0,10.0,2.14,,,,,,
10.0,10.0,2.24,,,,10.0,10.0,2.24,,,
,,,,,,10.0,10.0,2.85,10.0,10.0,1.45
,,,10.0,10.0,2.85,,,,10.0,10.0,1.9
10.0,10.0,2.86,,,,,,,10.0,10.0,2.86
10.0,10.0,2.86,,,,,,,10.0,10.0,2.86
10.0,10.0,2.34,,,,10.0,10.0,2.39,,,
10.0,10.0,2.34,,,,10.0,10.0,2.39,,,
10.0,10.0,2.41,10.0,10.0,2.41,,,,,,
,,,,,,10.0,10.0,2.85,10.0,10.0,1.55
10.0,10.0,2.86,,,,,,,10.0,10.0,2.86
10.0,10.0,2.19,10.0,10.0,2.24,,,,,,
,,,,,,10.0,10.0,2.85,10.0,10.0,1.45
10.0,10.0,2.86,,,,,,,10.0,10.0,2.86
10.0,10.0,2.27,10.0,10.0,2.27,,,,,,
10.0,10.0,2.33,10.0,10.0,2.33,,,,,,
10.0,10.0,2.34,,,,10.0,10.0,2.39,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.86
,,,,,,10.0,10.0,2.85,10.0,10.0,1.45
10.0,10.0,2.34,,,,10.0,10.0,2.39,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.86
,,,10.0,10.0,1.88,,,,10.0,10.0,2.83
10.0,10.0,2.19,10.0,10.0,2.24,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,2.0,,,,10.0,10.0,2.25
10.0,10.0,2.34,,,,10.0,10.0,2.39,,,
,,,10.0,10.0,2.32,,,,10.0,10.0,1.92
10.0,10.0,2.34,,,,10.0,10.0,2.39,,,
,,,10.0,10.0,2.27,10.0,10.0,1.82,,,
,,,10.0,10.0,2.31,,,,10.0,10.0,2.21
,,,,,,10.0,10.0,2.38,10.0,10.0,1.73
,,,10.0,10.0,1.98,,,,10.0,10.0,2.53
10.0,10.0,2.0,,,,10.0,10.0,2.0,,,
,,,10.0,10.0,1.51,10.0,10.0,2.26,,,
,,,10.0,10.0,1.83,,,,10.0,10.0,2.63
,,,10.0,10.0,2.15,,,,10.0,10.0,2.4
,,,10.0,10.0,2.13,,,,10.0,10.0,2.23
10.0,10.0,2.95,,,,,,,10.0,10.0,2.95
,,,10.0,10.0,2.07,,,,10.0,10.0,2.32
,,,10.0,10.0,1.87,,,,10.0,10.0,2.42
10.0,10.0,2.35,10.0,10.0,2.35,,,,,,
,,,10.0,10.0,2.35,,,,10.0,10.0,2.05
,,,,,,10.0,10.0,1.85,10.0,10.0,1.9
,,,,,,10.0,10.0,1.76,10.0,10.0,1.81
,,,,,,10.0,10.0,1.73,10.0,10.0,1.88
,,,10.0,10.0,1.57,10.0,10.0,2.42,,,
,,,10.0,10.0,1.18,,,,10.0,10.0,2.53
,,,10.0,10.0,1.63,,,,10.0,10.0,2.93
10.0,10.0,2.21,10.0,10.0,2.26,,,,,,
,,,10.0,10.0,1.6,10.0,10.0,2.6,,,
10.0,10.0,2.8,,,,,,,10.0,10.0,2.8
10.0,10.0,2.8,,,,,,,10.0,10.0,2.8
,,,10.0,10.0,1.23,10.0,10.0,2.93,,,
10.0,10.0,2.8,,,,,,,10.0,10.0,2.8
,,,,,,10.0,10.0,1.76,10.0,10.0,1.81
,,,10.0,10.0,1.63,10.0,10.0,2.48,,,
10.0,10.0,2.21,10.0,10.0,2.26,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,1.71,10.0,10.0,1.96
10.0,10.0,1.93,,,,10.0,10.0,1.93,,,
,,,,,,10.0,10.0,1.71,10.0,10.0,1.96
,,,10.0,10.0,1.75,10.0,10.0,2.35,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.44,10.0,10.0,2.54,,,
,,,10.0,10.0,1.56,,,,10.0,10.0,2.61
,,,,,,10.0,10.0,1.71,10.0,10.0,1.96
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,1.71,10.0,10.0,1.96
,,,,,,10.0,10.0,1.71,10.0,10.0,1.96
