s_0_history_len,s_0_model_depth,s_0_score,s_1_history_len,s_1_model_depth,s_1_score,s_2_history_len,s_2_model_depth,s_2_score
2.0,2.0,2.17,,,,2.0,2.0,2.25
2.0,2.0,3.012,2.0,2.0,0.512,,,
2.0,2.0,3.064,2.0,2.0,0.489,,,
2.0,2.0,3.097,2.0,2.0,0.482,,,
,,,2.0,2.0,0.506,2.0,2.0,2.976
2.0,2.0,1.0,,,,2.0,2.0,1.015
,,,2.0,2.0,0.509,2.0,2.0,3.004
,,,2.0,2.0,0.486,2.0,2.0,3.101
2.0,2.0,2.984,2.0,2.0,0.514,,,
2.0,2.0,1.006,,,,2.0,2.0,1.006
2.0,2.0,2.967,2.0,2.0,0.512,,,
2.0,2.0,1.003,2.0,2.0,1.003,,,
2.0,2.0,1.004,,,,2.0,2.0,0.999
2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,1.006,2.0,2.0,1.006,,,
,,,2.0,2.0,1.009,2.0,2.0,1.009
,,,2.0,2.0,1.007,2.0,2.0,1.002
2.0,2.0,1.003,2.0,2.0,1.003,,,
2.0,2.0,1.004,,,,2.0,2.0,0.999
,,,2.0,2.0,0.997,2.0,2.0,1.012
,,,2.0,2.0,1.009,2.0,2.0,1.009
,,,2.0,2.0,0.998,2.0,2.0,1.008
,,,2.0,2.0,1.012,2.0,2.0,1.012
2.0,2.0,2.336,,,,2.0,2.0,0.666
2.0,2.0,2.331,,,,2.0,2.0,0.671
2.0,2.0,1.006,2.0,2.0,1.006,,,
2.0,2.0,1.01,2.0,2.0,1.005,,,
,,,2.0,2.0,2.33,2.0,2.0,0.67
2.0,2.0,2.335,,,,2.0,2.0,0.67
,,,2.0,2.0,2.331,2.0,2.0,0.671
2.0,2.0,1.01,2.0,2.0,1.005,,,
2.0,2.0,1.007,2.0,2.0,1.002,,,
,,,2.0,2.0,2.336,2.0,2.0,0.666
2.0,2.0,1.005,2.0,2.0,1.01,,,
2.0,2.0,1.001,2.0,2.0,1.011,,,
2.0,2.0,1.013,,,,2.0,2.0,1.003
2.0,2.0,1.234,,,,2.0,2.0,0.949
,,,2.0,2.0,1.795,2.0,2.0,0.805
2.0,2.0,1.261,,,,2.0,2.0,0.941
2.0,2.0,2.17,,,,2.0,2.0,0.725
,,,2.0,2.0,2.859,2.0,2.0,0.539
2.0,2.0,1.001,2.0,2.0,1.011,,,
2.0,2.0,1.001,2.0,2.0,1.011,,,
,,,2.0,2.0,2.347,2.0,2.0,0.667
2.0,2.0,1.751,,,,2.0,2.0,0.821
2.0,2.0,2.308,,,,2.0,2.0,0.683
,,,2.0,2.0,3.2,2.0,2.0,0.455
2.0,2.0,1.004,2.0,2.0,1.014,,,
2.0,2.0,1.009,2.0,2.0,1.009,,,
2.0,2.0,1.67,,,,2.0,2.0,0.85
,,,2.0,2.0,1.944,2.0,2.0,0.774
,,,2.0,2.0,1.753,2.0,2.0,0.818
2.0,2.0,0.997,2.0,2.0,1.012,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
,,,2.0,2.0,2.419,2.0,2.0,0.649
2.0,2.0,1.002,2.0,2.0,1.007,,,
,,,2.0,2.0,1.766,2.0,2.0,0.821
2.0,2.0,1.0,,,,2.0,2.0,1.0
,,,2.0,2.0,0.998,2.0,2.0,1.008
,,,2.0,2.0,2.346,2.0,2.0,0.671
,,,2.0,2.0,1.822,2.0,2.0,0.802
2.0,2.0,0.999,,,,2.0,2.0,1.004
2.0,2.0,3.64,,,,2.0,2.0,0.34
2.0,2.0,1.011,2.0,2.0,1.001,,,
,,,2.0,2.0,3.049,2.0,2.0,0.494
2.0,2.0,1.0,2.0,2.0,1.015,,,
,,,2.0,2.0,2.203,2.0,2.0,0.703
2.0,2.0,0.998,2.0,2.0,1.008,,,
2.0,2.0,0.999,,,,2.0,2.0,1.004
2.0,2.0,1.0,,,,2.0,2.0,1.0
2.0,2.0,1.011,2.0,2.0,1.001,,,
2.0,2.0,1.617,,,,2.0,2.0,0.852
2.0,2.0,0.999,,,,2.0,2.0,1.004
2.0,2.0,0.999,2.0,2.0,1.004,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
,,,2.0,2.0,1.0,2.0,2.0,1.0
,,,2.0,2.0,2.926,2.0,2.0,0.521
2.0,2.0,1.0,,,,2.0,2.0,1.0
2.0,2.0,2.085,,,,2.0,2.0,0.735
2.0,2.0,0.996,2.0,2.0,1.016,,,
2.0,2.0,1.984,,,,2.0,2.0,0.754
2.0,2.0,0.998,,,,2.0,2.0,1.008
2.0,2.0,1.006,2.0,2.0,1.006,,,
,,,2.0,2.0,2.384,2.0,2.0,0.654
2.0,2.0,1.0,2.0,2.0,1.0,,,
2.0,2.0,1.004,2.0,2.0,0.999,,,
,,,2.0,2.0,1.095,2.0,2.0,0.98
2.0,2.0,1.0,,,,2.0,2.0,1.0
,,,2.0,2.0,1.626,2.0,2.0,0.846
2.0,2.0,0.381,2.0,2.0,3.496,,,
2.0,2.0,0.92,2.0,2.0,1.32,,,
2.0,2.0,1.704,,,,2.0,2.0,0.824
2.0,2.0,3.448,,,,2.0,2.0,0.388
,,,2.0,2.0,1.008,2.0,2.0,1.008
2.0,2.0,1.003,2.0,2.0,1.003,,,
,,,2.0,2.0,1.01,2.0,2.0,1.0
2.0,2.0,1.488,,,,2.0,2.0,0.878
2.0,2.0,1.006,,,,2.0,2.0,1.006
,,,2.0,2.0,1.006,2.0,2.0,1.001
,,,2.0,2.0,1.017,2.0,2.0,1.002
,,,2.0,2.0,1.003,2.0,2.0,1.013
2.0,2.0,0.999,2.0,2.0,1.004,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
,,,2.0,2.0,1.01,2.0,2.0,1.0
2.0,2.0,1.002,2.0,2.0,1.007,,,
2.0,2.0,1.006,,,,2.0,2.0,1.006
,,,2.0,2.0,1.006,2.0,2.0,1.001
2.0,2.0,1.011,,,,2.0,2.0,1.001
2.0,2.0,1.008,,,,2.0,2.0,0.998
2.0,2.0,1.012,,,,2.0,2.0,0.997
2.0,2.0,1.016,,,,2.0,2.0,0.996
,,,2.0,2.0,1.012,2.0,2.0,1.007
2.0,2.0,0.999,2.0,2.0,1.004,,,
,,,2.0,2.0,1.014,2.0,2.0,0.999
,,,2.0,2.0,1.013,2.0,2.0,1.003
,,,2.0,2.0,1.009,2.0,2.0,1.004
,,,2.0,2.0,1.006,2.0,2.0,1.001
2.0,2.0,1.003,2.0,2.0,1.003,,,
2.0,2.0,1.003,2.0,2.0,1.003,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
,,,2.0,2.0,1.005,2.0,2.0,1.005
2.0,2.0,1.011,,,,2.0,2.0,1.001
2.0,2.0,1.012,,,,2.0,2.0,0.997
2.0,2.0,1.012,,,,2.0,2.0,0.997
2.0,2.0,1.008,,,,2.0,2.0,0.998
2.0,2.0,1.008,2.0,2.0,0.998,,,
2.0,2.0,1.012,,,,2.0,2.0,0.997
,,,2.0,2.0,1.006,2.0,2.0,1.001
,,,2.0,2.0,1.003,2.0,2.0,1.003
,,,2.0,2.0,1.012,2.0,2.0,0.997
2.0,2.0,1.0,2.0,2.0,1.0,,,
2.0,2.0,0.999,2.0,2.0,1.004,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
2.0,2.0,0.998,,,,2.0,2.0,1.008
,,,2.0,2.0,1.004,2.0,2.0,0.999
2.0,2.0,1.002,,,,2.0,2.0,1.007
2.0,2.0,1.003,2.0,2.0,1.003,,,
2.0,2.0,1.007,2.0,2.0,1.002,,,
,,,2.0,2.0,1.004,2.0,2.0,0.999
,,,2.0,2.0,1.004,2.0,2.0,0.999
2.0,2.0,0.999,2.0,2.0,1.004,,,
2.0,2.0,0.999,,,,2.0,2.0,1.004
,,,2.0,2.0,1.0,2.0,2.0,1.0
2.0,2.0,0.999,,,,2.0,2.0,1.004
2.0,2.0,1.0,,,,2.0,2.0,1.0
,,,2.0,2.0,1.0,2.0,2.0,1.0
,,,2.0,2.0,1.0,2.0,2.0,1.0
2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
2.0,2.0,1.0,,,,2.0,2.0,1.0
2.0,2.0,1.004,2.0,2.0,0.999,,,
,,,2.0,2.0,1.004,2.0,2.0,0.999
,,,2.0,2.0,1.0,2.0,2.0,1.0
2.0,2.0,1.0,2.0,2.0,1.0,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
,,,2.0,2.0,0.999,2.0,2.0,1.004
2.0,2.0,0.999,2.0,2.0,1.004,,,
,,,2.0,2.0,0.999,2.0,2.0,1.004
2.0,2.0,1.0,2.0,2.0,1.0,,,
,,,2.0,2.0,1.008,2.0,2.0,0.998
2.0,2.0,1.002,2.0,2.0,1.007,,,
,,,2.0,2.0,1.0,2.0,2.0,1.0
2.0,2.0,1.0,,,,2.0,2.0,1.0
2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,1.012,2.0,2.0,0.997,,,
,,,2.0,2.0,1.001,2.0,2.0,1.011
2.0,2.0,1.007,,,,2.0,2.0,1.002
2.0,2.0,0.998,,,,2.0,2.0,1.008
2.0,2.0,0.999,2.0,2.0,1.004,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
2.0,2.0,1.007,,,,2.0,2.0,1.002
,,,2.0,2.0,1.0,2.0,2.0,1.0
,,,2.0,2.0,1.0,2.0,2.0,1.0
,,,2.0,2.0,1.002,2.0,2.0,1.007
2.0,2.0,1.0,2.0,2.0,1.0,,,
,,,2.0,2.0,1.0,2.0,2.0,1.0
,,,2.0,2.0,0.999,2.0,2.0,1.004
2.0,2.0,1.0,2.0,2.0,1.0,,,
2.0,2.0,0.998,,,,2.0,2.0,1.008
2.0,2.0,1.004,,,,2.0,2.0,0.999
2.0,2.0,1.0,,,,2.0,2.0,1.0
2.0,2.0,0.999,,,,2.0,2.0,1.004
2.0,2.0,1.003,,,,2.0,2.0,1.003
2.0,2.0,0.999,2.0,2.0,1.004,,,
2.0,2.0,0.999,2.0,2.0,1.004,,,
,,,2.0,2.0,1.0,2.0,2.0,1.0
2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,0.999,2.0,2.0,1.004,,,
2.0,2.0,1.0,2.0,2.0,1.0,,,
