s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,2.456,,,,,2.036,,,
,,,,2.344,,,,,,,2.284,
,,2.2,,,,,,2.3,,,,
,,,,,,,,,,,2.276,2.136
,2.284,,,2.244,,,,,,,,
,,,,,,,,,2.192,,,2.332
2.248,,2.248,,,,,,,,,,
,2.36,,,,,,,,,2.24,,
,2.216,,2.276,,,,,,,,,
,2.324,,,,,,,,2.184,,,
,,,,,,1.572,,,3.952,,,
,,,,,,3.0,3.0,,,,,
,,,2.396,,,,,,1.976,,,
2.228,,,,,,,,,2.248,,,
,,,,,,1.5,,,4.0,,,
,,2.312,,,,,,,,,2.172,
,3.984,,,,,1.524,,,,,,
,2.344,,,,,,,,,2.204,,
,2.184,,,,,,,2.384,,,,
,,,,,,,,,,,2.312,2.252
,,2.152,,2.432,,,,,,,,
,,,2.12,2.34,,,,,,,,
,,,,2.152,,,,,,,,2.472
,,,,,,,,,2.264,,2.144,
,,,,,1.032,,0.992,,,,,
,,,,,,,,2.2,2.36,,,
,,0.46,,,3.16,,,,,,,
,,,,,,,,,,,2.44,2.08
,2.1,,,,,,,,,2.38,,
,,,,,,,,,1.708,,,2.508
2.176,2.196,,,,,,,,,,,
,,,,,,1.428,,4.048,,,,
,,,,1.608,,,,,,,2.608,
2.284,,,,,,,,,,2.304,,
,,,,,,1.56,,,3.96,,,
,,,1.532,,,,,,,,2.552,
,,,1.6,,,,,,,,2.42,
,,,,3.08,,,1.7,,,,,
2.128,,,2.148,,,,,,,,,
,,,2.116,2.296,,,,,,,,
,,,,2.3,,,,2.34,,,,
,4.0,,,,,1.5,,,,,,
2.116,2.136,,,,,,,,,,,
,3.136,,,,,,1.876,,,,,
,,,,,1.016,,,,,,,0.996
,,,,,,,1.352,,,,2.232,
,,,,,,0.012,,,,,,4.992
,,,,0.488,3.048,,,,,,,
0.996,,,,,1.016,,,,,,,
2.284,,2.304,,,,,,,,,,
,,,,3.192,,,1.872,,,,,
,,,,,,,,,2.244,2.344,,
,,,,,3.064,,,,0.484,,,
2.1,,,,,,,,,,,,2.1
,4.096,,,,,1.356,,,,,,
,,2.1,,,,,,2.34,,,,
,,,,,,,,,,1.656,2.396,
,,,,,,,,1.784,,,,2.424
,0.508,,,,2.968,,,,,,,
,,,2.444,1.844,,,,,,,,
,,,,,5.0,0.0,,,,,,
,2.496,,,,,,,,1.696,,,
,,,,0.464,3.144,,,,,,,
,0.016,,,,4.936,,,,,,,
3.0,3.0,,,,,,,,,,,
,,,,,,,,2.22,2.24,,,
,2.652,,,,,,,,,1.752,,
,,,,,5.0,0.0,,,,,,
,2.508,,,,,,,,,1.728,,
,,2.376,,,,,,,,2.176,,
,1.764,,,,,,,,,,2.044,
,,2.456,,1.496,,,,,,,,
2.26,,,,2.26,,,,,,,,
,,,2.44,,,,,1.8,,,,
,,,,,,,,,1.54,,2.6,
,,,,,2.456,,,,,,0.636,
,,,,,,0.012,,,,,,4.992
,,,,,1.512,,,0.872,,,,
,,,,,1.512,,,0.872,,,,
,,,,,,,,,,1.376,2.696,
,,,,,,,,,,,1.972,1.812
3.0,,,,,,,,3.0,,,,
2.096,,,2.116,,,,,,,,,
,,,,,3.048,,,,0.488,,,
3.0,,,,,,,,3.0,,,,
,,,,,,,,1.972,,,,1.752
,,,,,1.512,,,0.872,,,,
3.0,,,,,,,,3.0,,,,
3.0,,,,,,,3.0,,,,,
,,,4.176,,,1.236,,,,,,
,2.792,,,,,,,,,1.312,,
,,,,,5.0,0.0,,,,,,
,,,,,,,,2.164,,1.904,,
,,,,,,,,,1.624,,,2.464
2.104,,,,,,,,,,,,2.104
,,,2.48,,,,,,1.56,,,
,,,2.528,1.608,,,,,,,,
,,,,1.844,,,,,,2.424,,
,,,,1.564,,,,,,2.764,,
,0.316,4.436,,,,,,,,,,
2.24,,,,,,,,,2.24,,,
,,,0.984,,1.064,,,,,,,
,,,,,3.016,,,,0.496,,,
,,,,,,,,2.796,1.576,,,
,2.792,,,,,,,,,1.312,,
,,,,,1.016,,,,,,,0.996
,,,,,1.016,,,,,,,0.996
,,,,,1.048,,,,,,,0.988
,,,,,,,1.472,,,2.812,,
,0.316,4.436,,,,,,,,,,
,,2.588,,,,,,,1.168,,,
,,,2.296,,,,,,,1.676,,
,,,1.908,,,,,1.688,,,,
1.508,,,,,,,,,,,,1.528
,,,,,2.872,,,,0.532,,,
,2.056,,,,,,,,,,,1.596
,,,,,,,,1.972,,,,1.752
,,,,,,,,,,1.852,,2.132
,,,,1.66,,,,,,,,2.64
2.1,,,,,,,,,,,,2.1
2.024,,,,,,,,,,2.044,,
,,,,,5.0,0.0,,,,,,
,,,,,1.512,,,0.872,,,,
,,,,,,,,,1.468,,2.508,
,2.356,,,,,,1.356,,,,,
,,,,1.528,,,,,,2.568,,
,,,2.02,,,,,,,1.64,,
,,,,1.496,,,,,,,2.516,
,,2.248,,,,,,,,,,1.108
,2.784,,,,,,,,,,,1.244
,,,4.176,,,1.236,,,,,,
,,4.192,,,,1.212,,,,,,
,1.076,,2.136,,,,,,,,,
,,,,,,1.068,,,,,,4.288
,0.52,,,,2.92,,,,,,,
,,,,,,,,,,1.804,1.524,
,,,,,,,,,1.232,2.852,,
,,,,,2.456,,,,,,0.636,
,,1.876,,,,,,,,,1.416,
,,,,,3.016,,,,0.496,,,
,,1.876,,,,,,,,,1.416,
,,,,,,,,,1.64,2.6,,
1.856,,,1.876,,,,,,,,,
,,,3.032,,,2.952,,,,,,
,,,,,,0.54,,,,,4.64,
,,,,1.464,,,,,,,2.604,
,,,,,,0.048,,,,4.968,,
,,,,,,3.0,,,,3.0,,
2.344,,,,2.344,,,,,,,,
,,0.016,,,4.936,,,,,,,
,,,,,2.888,,,,0.528,,,
1.464,,1.484,,,,,,,,,,
,,,,,5.0,0.0,,,,,,
,,,,,,,3.0,,,3.0,,
1.464,,1.484,,,,,,,,,,
,0.52,,,,2.92,,,,,,,
,1.68,,,,,,,,,,1.84,
,,0.016,,,4.936,,,,,,,
,,,,1.308,,,,,,2.548,,
,2.68,,,,,,,,1.3,,,
,,,2.412,,,,,,1.612,,,
,,,,,,0.0,,,,,5.0,
,,,,,,,,,,,2.716,1.396
,,,,,,,1.464,1.924,,,,
,,,,,,,,2.74,1.54,,,
,2.344,,,,,,1.424,,,,,
,,,1.932,,,,,,1.852,,,
,,,0.624,,2.504,,,,,,,
,,,,,,,,,2.184,,,1.944
,1.372,,,,,,,,1.752,,,
3.0,,,,,,3.0,,,,,,
,,,,4.08,,1.38,,,,,,
,,,,,1.032,,0.992,,,,,
,,,,,5.0,0.0,,,,,,
,,,,,,0.0,,,,,5.0,
,,,,3.0,,,1.8,,,,,
,4.968,,,,,,,,,,,0.008
,,,,,,,,,,,2.716,1.396
,,,,,1.032,,0.992,,,,,
,,,,,,,,1.544,,2.084,,
,1.736,,1.656,,,,,,,,,
2.412,,,,,,,,2.432,,,,
,,,,,,,1.408,,,,3.028,
,,1.992,1.432,,,,,,,,,
,,,,,,0.0,,,,,5.0,
,,,1.364,,,,,,,2.084,,
,,,3.0,,,,3.0,,,,,
,,1.876,,,,,,,,,1.416,
,,,3.0,,,3.0,,,,,,
,,,,3.172,,,1.892,,,,,
,1.68,,,,,,,,,,1.84,
,,,,,,,,0.984,,2.904,,
,0.52,,,,2.92,,,,,,,
,,,,,,,,0.984,,2.904,,
1.776,,,,,,,,,1.776,,,
,,1.876,,,,,,,,,1.416,
,,,,,,,,,1.824,,1.544,
,2.344,,,,,,1.424,,,,,
,,,1.4,,,,,,,,2.46,
,,,,,,,,,,3.064,,0.944
1.596,,,,,,,,,,,1.616,
,,,,,,,,,,4.768,,0.148
,,,1.756,,,,,2.196,,,,
,,2.904,,,,,,1.004,,,,
,,,1.904,,,,,,2.024,,,
,,,,,5.0,0.0,,,,,,
,,,,1.44,,,,,,,2.64,
,1.68,,,,,,,,,,1.84,
,,,,,,,,,1.8,,2.26,
,,,,,,,,,0.312,4.472,,
,,,,,4.888,,,,0.028,,,
,,,,,,,,,2.048,,,1.948
,,,,,,0.012,,4.992,,,,
,,,2.06,,,,,,,,,2.14
,,2.884,,,,,,,,,1.204,
,,,,,,0.012,,4.992,,,,
2.052,,,,,,,,,,,2.072,
,,,1.756,,,,,2.196,,,,
,,,,0.516,2.936,,,,,,,
,1.124,,,,,,,3.164,,,,
,2.34,,,2.14,,,,,,,,
,,2.584,,1.064,,,,,,,,
,,,2.06,,,,,,,,,2.14
,,,,,,0.792,,,,,4.472,
,,0.208,,,,,,,,4.668,,
,,,1.756,,,,,2.196,,,,
3.0,3.0,,,,,,,,,,,
3.0,,,,,,,3.0,,,,,
,,,,,,,,0.968,,,3.088,
,,,,,,,,0.32,,4.44,,
,,,2.216,1.836,,,,,,,,
,,,,0.456,3.176,,,,,,,
,,,0.016,,4.936,,,,,,,
,3.0,,,,,,3.0,,,,,
,,,,,,3.0,,,,3.0,,
,0.496,,,,3.016,,,,,,,
,3.0,,,,,3.0,,,,,,
1.464,,1.484,,,,,,,,,,
,,,,,5.0,0.0,,,,,,
,,,,,1.032,,0.992,,,,,
,,,,,,0.792,,,,,4.472,
,2.188,,,2.428,,,,,,,,
1.752,,,,,,,,,,,,1.772
,,3.648,,,,,,,,,,0.688
,,,,0.508,2.968,,,,,,,
,,,,,,2.94,,,3.04,,,
,,0.02,,,4.92,,,,,,,
,,2.884,,,,,,,,,1.204,
3.0,,,3.0,,,,,,,,,
,0.852,3.332,,,,,,,,,,
2.052,,,,,,,,,,,2.072,
,,,,,,,1.552,2.532,,,,
,,,,1.556,,,,2.496,,,,
,2.088,,,,,,,,2.328,,,
,,,,1.536,,,,2.516,,,,
,,,,0.668,,,,,,2.928,,
,,,,,5.0,0.0,,,,,,
,,,,,,,2.924,,3.024,,,
,,2.968,,,,,,0.968,,,,
,,,,,,,3.0,,,3.0,,
,,,,,,,1.552,2.532,,,,
,,,2.06,,,,,,,,,2.14
,,,,,,,3.0,,,3.0,,
,,,,,1.032,,0.992,,,,,
,,,,,4.968,,,,,,0.008,
,,,,,,,,,0.352,4.352,,
,,,,,,,,,1.8,,2.26,
1.776,,,,,,,,,1.776,,,
,,,,,4.872,,,,0.032,,,
,,,,,5.0,0.0,,,,,,
,,,,,,,,2.628,,,,1.448
,,,1.756,,,,,2.196,,,,
,,,,,1.096,,,,,0.976,,
,,,3.0,,,3.0,,,,,,
,,,,,,,,2.492,,,,1.592
,,,,,4.968,,,0.008,,,,
,,,,1.48,,,,,2.58,,,
,,,,1.68,,,,,,,2.28,
,,,,,,3.0,,,,,3.0,
,,,,,,,1.4,,,,,1.9
,,,,0.66,,,,,,3.02,,
,,,,,2.776,,,,,,0.556,
,2.12,,,2.28,,,,,,,,
3.0,,,,,,3.0,,,,,,
,,,,,4.968,,,0.008,,,,
,,,3.0,,,,,,,3.0,,
,,,,,,0.0,,,,,5.0,
,,,0.016,,4.936,,,,,,,
,,,,,,,,,,2.7,0.68,
0.996,,,,,1.016,,,,,,,
,,,,,,,1.46,,2.1,,,
,,,1.756,,,,,2.196,,,,
,,,,,1.032,,0.992,,,,,
,,4.192,,,,1.212,,,,,,
,0.496,,,,3.016,,,,,,,
,,,,1.524,,,,2.484,,,,
,,,,3.224,,,1.884,,,,,
,0.5,,,,3.0,,,,,,,
,,,,,,,,0.32,,4.44,,
,,,2.456,1.976,,,,,,,,
1.916,,,,,,,,,1.916,,,
,,,3.0,,,,3.0,,,,,
,,,,,1.096,,,,,0.976,,
,,0.208,,,,,,,,4.668,,
,,,,,,0.0,,,,,5.0,
,,,,,,0.792,,,,4.472,,
3.0,3.0,,,,,,,,,,,
,,2.896,,,,,1.716,,,,,
,3.0,,3.0,,,,,,,,,
,,,,,,,,0.092,4.792,,,
,,,,0.484,3.064,,,,,,,
,3.0,,,,,3.0,,,,,,
,,,,,,,,,2.968,,,1.168
2.088,,,,,,,,,,,2.088,
