s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,2.2,,,,,,,,2.28,
,,2.14,,2.26,,,,,,,,
,,3.984,,,,1.524,,,,,,
,,2.2,,,,,,,,,2.2,
,,,2.18,,,,,,2.18,,,
,2.304,,2.344,,,,,,,,,
,2.224,,,2.284,,,,,,,,
,2.432,,,,,,,,2.132,,,
,,,,,,3.0,3.0,,,,,
,,,,2.22,,,,,,,,2.08
,,,2.396,,,,,,2.176,,,
,,,3.944,,,1.584,,,,,,
,,,,,,,,,2.152,2.252,,
2.236,,,,,,,,,,2.236,,
,,,,,3.064,,,0.484,,,,
,,,,3.172,,,1.912,,,,,
,,,2.3,,,,,2.1,,,,
,2.132,,,2.372,,,,,,,,
,,,2.288,,,,,,,,2.088,
,,,4.064,,,1.404,,,,,,
,,,2.268,,,,,,2.208,,,
,,,,,,,,1.712,,,,2.512
,,,,,,,1.788,,3.128,,,
,,,,,,,,,,1.824,,2.304
,,,1.696,,,,,,,,,2.436
,,,,,,,,,2.24,,2.18,
,0.532,,,,2.872,,,,,,,
,,,,,,1.56,,,,3.96,,
,,,,,5.0,0.0,,,,,,
2.304,,,,,,,,2.304,,,,
,,,,,,1.644,,,,,3.904,
,3.084,,,,,,1.904,,,,,
,,,2.22,,,,,,2.22,,,
,,2.432,2.072,,,,,,,,,
,2.18,,,,,,,,,2.24,,
,,,,,,0.0,,,,,5.0,
,2.316,,,,,,,,2.196,,,
,,,,,,,1.776,,,,,2.656
2.288,2.308,,,,,,,,,,,
,,,,,,,,,,1.612,,2.632
,,1.864,,,,,,,,,,2.024
,,,,,5.0,0.0,,,,,,
,,,2.36,,,,,,2.2,,,
,,,,,2.952,,,,,,,0.512
,,2.484,,,,,,,,1.864,,
,,,,,,,,1.612,,,2.532,
,,,,,1.0,,,,,,1.0,
,,2.332,2.172,,,,,,,,,
,,,2.152,,,,,2.272,,,,
,2.152,2.332,,,,,,,,,,
,,,,,,,,1.976,,,,2.316
,,,,1.596,,,,,,,,2.596
,,4.92,,,,0.12,,,,,,
,,,,,,,,,,0.992,2.792,
,,,,,,,1.824,,,3.304,,
,,,,,,,,1.976,,,,2.316
,,,,,,,1.456,,,,1.856,
,,,1.06,,,,,,,,2.84,
,,,,0.96,,,,,,,2.76,
2.336,,,,,,,,,2.336,,,
,,,1.648,,,,,,,,,2.368
,,,,,,1.464,,4.024,,,,
1.988,,,,,,,,,,,,2.008
,,,,0.508,2.968,,,,,,,
,,,,,2.984,,,,,,0.504,
1.684,,,,,,,,,,,1.704,
,,2.232,,,,,,,,,,1.652
3.0,,,,,,3.0,,,,,,
2.26,,,,,,,,,2.26,,,
,,,,,,,1.94,,3.18,,,
,,,,,,,,,,2.032,,1.952
,,,,,,,,,2.132,2.252,,
,,1.976,,,,,,,1.896,,,
,1.884,,,,,,,,2.204,,,
,,,,1.892,,,,,,,,2.632
,,1.976,,,,,,,1.896,,,
3.0,,,,,,,3.0,,,,,
,,,,,,,,2.076,,1.936,,
,,,,1.772,,,,,,,,2.472
2.436,,2.436,,,,,,,,,,
,,0.676,,,2.296,,,,,,,
,,3.008,,,,,2.988,,,,,
,,,,1.772,,,,,,,,2.572
,,,,1.968,,,,,2.288,,,
2.628,,,,,,,,2.628,,,,
,,,,,,,,,0.708,,2.528,
,,,,1.856,,,,,,2.416,,
0.996,,,,,1.016,,,,,,,
,3.032,,,,,2.952,,,,,,
,,,,,,2.976,,,,3.016,,
,1.256,,,,,,,,,,2.416,
,,,,,5.0,0.0,,,,,,
,,,3.936,,,1.596,,,,,,
,,,,,,,,,1.816,2.156,,
